on x=-13..37,y=-36..14,z=-3..45
on x=-79436..-62124,y=17736..25062,z=-33415..-15642
on x=58309..68890,y=-53920..-35770,z=-5858..12657
on x=-70319..-60470,y=13686..43339,z=-44612..-11192
on x=-14271..3865,y=-5940..16892,z=-89272..-77708
on x=56603..74277,y=-30330..-17500,z=-65513..-34252
on x=70395..81599,y=-8116..-4807,z=-47231..-23373
on x=26409..53159,y=37900..58813,z=-58362..-44114
on x=-6833..22656,y=49013..66204,z=-64722..-42138
on x=-79939..-47600,y=-54134..-42160,z=7100..29266
on x=-12387..1516,y=-93270..-73717,z=21246..31778
on x=-68856..-43032,y=-13298..19069,z=45157..61355
on x=-52372..-35450,y=7419..16683,z=-86081..-55547
on x=24953..45687,y=45007..63906,z=14094..39220
on x=-55616..-27396,y=62300..72738,z=-2200..9190
on x=50053..83913,y=-11119..-1995,z=-60574..-21845
on x=-34214..-11133,y=-11996..-4356,z=72157..82626
on x=-81300..-54391,y=-17887..-200,z=31179..50660
on x=-16117..18870,y=61218..84345,z=33172..58266
on x=-94022..-70920,y=422..21148,z=-40110..-4601
on x=7997..32024,y=-93325..-76394,z=-1522..5982
on x=-9500..16520,y=23350..46041,z=-88268..-58078
on x=-23747..-4542,y=-58091..-41118,z=62263..73989
on x=-17732..-2905,y=-95543..-64883,z=-1683..25695
on x=75498..83226,y=-6258..14464,z=2112..14733
on x=20265..41561,y=11946..41840,z=50936..79878
on x=53047..82535,y=-14468..1393,z=-43142..-21193
on x=27130..52544,y=57145..81711,z=-35213..-9752
on x=-45338..-15941,y=-19607..110,z=67448..89256
on x=-59996..-26746,y=2539..21005,z=53468..67082
on x=3402..28703,y=-93591..-66413,z=8528..10542
on x=-49409..-35285,y=32697..52202,z=48515..71687
on x=49025..53870,y=-9075..16495,z=-66082..-46321
on x=30601..51564,y=-69996..-47533,z=-25031..2209
on x=5635..35015,y=53724..79653,z=-26973..-16059
on x=55318..86926,y=-23333..-9355,z=7047..44226
on x=-30289..-12285,y=-68389..-57981,z=-48161..-40552
on x=58882..92805,y=23648..37563,z=5964..22967
on x=34496..42738,y=-72380..-48483,z=-34740..-955
on x=20317..32221,y=20101..38130,z=-86821..-68574
on x=-34120..-25879,y=-55894..-44842,z=-55903..-40976
on x=-45645..-28331,y=-74951..-59701,z=30291..41140
on x=-18717..-645,y=-49850..-25005,z=-85064..-56705
on x=-66069..-62114,y=-7151..16958,z=31325..61285
on x=-8768..2875,y=70141..79960,z=-16283..162
on x=48671..75660,y=34126..57253,z=25955..40686
on x=1592..40495,y=17266..42218,z=53722..79079
on x=-19745..6994,y=-93790..-75591,z=-28647..9949
on x=-33893..-12969,y=-90507..-60780,z=-42644..-10587
on x=60910..79183,y=-49087..-26806,z=-209..8359
on x=-35209..-832,y=18733..37433,z=-77554..-53413
off x=-24707..-6441,y=-41376..-10856,z=55331..90949
off x=6474..32653,y=-14454..17574,z=-88453..-71268
on x=-13493..-6403,y=47314..66556,z=-54874..-29147
on x=-9291..12608,y=53741..85000,z=-46306..-17017
off x=13983..32183,y=38353..59846,z=44630..60489
on x=-20250..12042,y=6499..35623,z=-81728..-71834
off x=-12034..26843,y=-13773..3,z=-84021..-75465
on x=-26797..-16552,y=-49960..-32197,z=-65821..-61668
on x=8368..23515,y=21417..44347,z=55621..84595
off x=49540..69051,y=31705..39693,z=-42453..-14061
on x=-69780..-50337,y=-64895..-31351,z=-1140..22240
on x=70874..82029,y=-4927..29616,z=-17097..7597
off x=-35974..-21133,y=-17861..70,z=66698..84031
off x=-47342..-11961,y=-672..21189,z=-74692..-65282
off x=24383..49319,y=48619..83833,z=15987..31130
off x=4559..23214,y=61581..86675,z=11178..41759
on x=61861..73539,y=-60405..-42686,z=5953..23802
off x=-59929..-28960,y=-56097..-28974,z=-52538..-46415
off x=-72615..-55995,y=-36832..-13278,z=19227..40885
on x=-12406..8284,y=-92734..-74910,z=-35203..-11978
off x=11249..35967,y=28322..57776,z=56548..84816
off x=44731..62241,y=35624..44662,z=-66511..-34520
off x=-87104..-74134,y=-13992..12953,z=-3294..10178
on x=-28985..-3937,y=-56788..-26115,z=63095..78456
off x=22993..41149,y=-72025..-38641,z=53155..65281
off x=-70263..-64986,y=10277..24698,z=17534..54469
on x=33137..54068,y=49394..60447,z=14589..36485
off x=1761..5646,y=-30207..-23218,z=67948..86068
off x=23532..51240,y=-68091..-30165,z=-66152..-47659
on x=63492..78630,y=26451..49621,z=-16485..2633
on x=61364..70239,y=-44857..-25262,z=-8792..15341
off x=-44240..-24659,y=40477..65486,z=46273..50810
on x=-82196..-65068,y=22741..26991,z=21666..26831
on x=19512..39779,y=51290..71942,z=33521..52593
off x=52818..66473,y=38215..68935,z=11423..29773
off x=19475..48035,y=50117..69010,z=-49063..-24987
on x=-14143..9865,y=-10817..8431,z=65536..80561
off x=-72733..-48163,y=-25291..-9724,z=-66757..-36479
off x=-43106..-20567,y=58626..65043,z=30453..56787
off x=13154..16214,y=5656..13752,z=66016..80418
off x=-11408..18735,y=39272..59415,z=60254..73108
on x=-77078..-61965,y=-17101..-10110,z=44955..62934
off x=40661..68779,y=45899..59382,z=-21792..-15201
off x=53315..78287,y=-31686..-15404,z=-41990..-23080
off x=-18699..12677,y=-34848..-11433,z=63732..95545
off x=-24502..-17077,y=-91563..-71124,z=15320..22882
on x=24300..44953,y=-8117..20940,z=-85817..-64192
off x=-57159..-39199,y=-29219..-23341,z=-68301..-54847
on x=34394..67095,y=-53551..-28864,z=43253..61926
off x=-50069..-30721,y=-14112..20450,z=-84644..-54725
on x=23629..36100,y=59625..71637,z=-42808..-14597
on x=-48311..-40298,y=-52473..-36850,z=-55879..-29005
on x=-12671..11981,y=-46219..-25335,z=68262..79543
on x=-4192..11450,y=-33767..-22561,z=62929..78589
on x=-72223..-46005,y=-407..27380,z=-64061..-33742
off x=41077..57062,y=-58884..-45405,z=19829..48890
off x=49487..69913,y=17640..41283,z=44735..66488
off x=-73528..-49377,y=-49007..-39363,z=9948..35961
off x=-71643..-56910,y=30988..61528,z=1455..7445
off x=-37842..-11285,y=64140..77407,z=-1880..26818
on x=-73578..-43035,y=9872..28002,z=44466..65647
off x=326..24287,y=68067..99200,z=-19343..11282
on x=55367..74607,y=22023..39362,z=-34371..-18588
off x=58603..79981,y=-22871..1116,z=22611..39894
off x=47930..73685,y=-6214..-2685,z=-60846..-31022
off x=22820..41562,y=-16265..-4928,z=58506..83229
off x=-88133..-62301,y=15247..30618,z=-10265..10510
off x=1253..22476,y=-60567..-30741,z=51569..81597
off x=63494..75187,y=-55856..-27033,z=-16423..-4091
off x=52204..70316,y=21707..45143,z=24511..43927
off x=27774..33872,y=30457..60549,z=52881..74012
off x=-67751..-48677,y=6535..14109,z=41406..63051
on x=62817..79049,y=4793..27715,z=-40593..-20781
on x=21141..51290,y=-74209..-55507,z=15792..30070
on x=-32225..-15877,y=21103..45553,z=-66267..-46475
off x=-53085..-35827,y=-36046..-19282,z=55940..62461
off x=17599..44204,y=13384..25615,z=-76042..-64772
on x=-23704..-3540,y=-20375..10502,z=59465..97525
off x=-82359..-68971,y=12420..30737,z=-38435..-11957
off x=-40061..-9787,y=-1989..10412,z=57295..74944
on x=-76144..-61483,y=-58373..-37868,z=-43080..-14295
on x=7696..27949,y=-72779..-56254,z=-54768..-32949
off x=39003..59670,y=-62963..-47662,z=1974..16893
off x=29968..35020,y=-22383..-11225,z=61966..80305
on x=50004..63242,y=-20016..6273,z=44941..69658
off x=-59279..-55566,y=-61178..-54387,z=-29065..-8057
off x=-61413..-26740,y=60749..79809,z=-21764..16450
off x=32196..66439,y=-60264..-26865,z=26941..60013
on x=-58520..-43376,y=37472..61676,z=23422..43293
off x=-56396..-25541,y=-68416..-55661,z=-19690..-9207
on x=18618..44778,y=-85629..-64714,z=-8305..17838
on x=-61504..-52282,y=-57912..-39990,z=-14780..6801
on x=11156..42237,y=11867..43976,z=-85896..-64810
on x=-55007..-28867,y=52919..63309,z=-40553..-23411
off x=59765..80865,y=35650..56453,z=-27643..-24090
off x=43182..81228,y=-34129..-7000,z=40063..52672
on x=-13505..20448,y=64022..91445,z=26743..48275
on x=27815..43279,y=-70617..-52124,z=24964..51972
off x=35675..49869,y=-62404..-56365,z=18269..35287
off x=35300..54594,y=35804..62612,z=-52851..-29341
off x=-71395..-53018,y=-19495..-4921,z=24089..52405
on x=-33332..-3755,y=-59570..-40365,z=56013..63939
on x=42324..60577,y=-49964..-34186,z=-52816..-27743
off x=48768..67360,y=-61320..-28892,z=-37831..-21312
on x=16338..40996,y=-53751..-18105,z=48116..68706
off x=-27168..-9712,y=-84533..-68775,z=4825..41138
off x=-60047..-36975,y=37870..61975,z=32191..46708
on x=26376..40244,y=-65020..-54338,z=43732..56693
off x=-91738..-68157,y=-24748..6980,z=-39819..-19451
on x=-5317..14596,y=-21035..-10563,z=71696..82823
off x=49847..64417,y=23298..37336,z=21615..52831
off x=-52432..-40255,y=-26836..-5279,z=-70876..-60890
off x=-20102..9857,y=-1721..20913,z=78025..98271
off x=-4990..6648,y=-21613..4090,z=-86165..-59847
on x=43038..56116,y=-63896..-49438,z=-26881..-4325
on x=-4380..2751,y=55174..85405,z=-46983..-21937
on x=70338..80320,y=-37100..-1120,z=-25918..-14953
on x=-54364..-27158,y=23057..50821,z=50502..69300
on x=1520..12529,y=-78320..-56572,z=38211..50552
off x=49738..66773,y=30561..59431,z=2951..29462
off x=16271..28523,y=-45270..-31343,z=63465..75526
on x=71234..85618,y=-41395..-7960,z=-4130..3364
on x=-69317..-40653,y=-67757..-43558,z=6142..24036
on x=25022..40901,y=-60207..-43245,z=29925..58586
off x=-81117..-47868,y=-43751..-16831,z=-35356..-29663
on x=-1180..17290,y=67627..89970,z=11528..29483
on x=-61937..-38595,y=-63471..-51265,z=-41226..-7643
off x=-79920..-67593,y=23081..43335,z=-27955..-4111
on x=52546..75163,y=49315..56898,z=-14675..7154
off x=3726..34564,y=-66091..-47518,z=-66664..-37455
on x=34949..60501,y=-28771..-11144,z=51352..61485
on x=-12954..14301,y=-93475..-65638,z=-10004..11614
on x=11713..39311,y=-13965..-4062,z=-81763..-73474
on x=51282..59807,y=-57951..-35734,z=5994..36901
off x=-7411..26099,y=32784..55370,z=51744..64477
off x=28307..41980,y=-60121..-44354,z=-62749..-36419
off x=67213..84298,y=-29046..-11454,z=21296..44275
off x=-63074..-36397,y=-44584..-33108,z=-62259..-41864
on x=-52919..-32901,y=-76109..-58400,z=-18640..-10098
off x=22269..46465,y=-75997..-51073,z=-46540..-31244
on x=-13358..1813,y=-48320..-19885,z=65575..90081
on x=57248..73703,y=50245..59021,z=-23752..-325
off x=-61356..-40218,y=-63746..-48236,z=-4162..13109
on x=-86721..-52575,y=18886..39871,z=-27525..-18940
off x=-32958..-9613,y=54585..89567,z=-25434..-6238
on x=-34933..-16868,y=35195..53598,z=53014..59010
on x=-50111..-41812,y=53666..72265,z=-43276..-17297
off x=-48541..-31980,y=-29629..-9928,z=-72149..-56249
off x=8404..34890,y=-91946..-64517,z=-36821..-5171
on x=-61476..-46150,y=34461..64440,z=-52672..-31719
on x=17053..48276,y=8196..30921,z=-90002..-67999
off x=30567..51548,y=48492..49629,z=-60064..-40577
off x=-11485..16121,y=49496..85403,z=-58551..-28464
off x=-71575..-66788,y=-28618..-14850,z=25881..53946
on x=-82870..-69951,y=-31733..-21150,z=2448..31565
off x=21102..31260,y=28479..55875,z=53439..84269
on x=-92343..-73224,y=-5440..30589,z=-11302..13705
off x=57846..67138,y=-51876..-19075,z=25743..40789
on x=-42146..-14334,y=-91427..-56913,z=11466..17841
on x=-8337..5046,y=-97914..-59588,z=-17297..-3854
on x=72959..77792,y=-7695..23596,z=16641..36941
off x=48708..70778,y=-52975..-24049,z=38893..49884
off x=-48001..-30155,y=-34640..-8100,z=-68127..-58824
on x=-23589..-642,y=-55673..-20006,z=53073..77106
on x=-33552..-8377,y=53425..81818,z=-47589..-31657
on x=-4435..19578,y=50903..85239,z=-52340..-31908
off x=-65297..-43991,y=45255..59229,z=-39945..-7463
off x=-27752..-7352,y=56826..62480,z=-59434..-52524
on x=-52395..-36890,y=-60404..-53667,z=-52971..-34646
on x=-17036..-10608,y=22073..34956,z=-87647..-59521
on x=-20406..2585,y=-75526..-51689,z=-53856..-28503
off x=57297..67915,y=40135..59210,z=-10318..20975
on x=54413..78003,y=2451..10064,z=24601..41429
off x=-30323..-21158,y=35905..68915,z=-71573..-39806
off x=-24500..-12434,y=-76402..-60478,z=-18069..-8858
off x=60931..77777,y=-41037..-25321,z=-7530..26700
off x=37607..47278,y=-15018..6458,z=67782..87778
off x=-32488..-5083,y=26413..40281,z=60169..76864
off x=7746..18062,y=45927..81504,z=29094..62804
off x=-60955..-54035,y=33191..54217,z=25181..37101
on x=52094..81032,y=-29343..-25525,z=-50030..-21747
off x=57932..85467,y=-4500..2029,z=-46429..-9720
on x=36386..64660,y=-73512..-44017,z=16903..32394
on x=-1492..33205,y=-82073..-69752,z=5149..23012
off x=-6314..2597,y=-82434..-52899,z=-54568..-42166
off x=47307..75857,y=-39178..-30672,z=23379..47503
on x=64489..84771,y=-20277..-8288,z=-10334..20346
off x=-40498..-13375,y=-21960..-1763,z=-89263..-65000
on x=19554..31662,y=55672..61731,z=-60358..-37905
on x=-39219..-7291,y=35227..63484,z=-72685..-36545
on x=43613..70012,y=-33475..-18062,z=33764..41733
on x=19674..39635,y=-73170..-53816,z=-59139..-34916
on x=-2303..14767,y=69085..89874,z=-44748..-25607
off x=-41923..-21656,y=-11475..12712,z=-92655..-63472
off x=-65609..-28677,y=49338..76417,z=-17143..20767
on x=-66708..-54445,y=-8844..3726,z=40665..69409
on x=57741..80306,y=-53751..-27969,z=-2005..11767
off x=-36833..-8071,y=11487..45001,z=-74496..-55088
on x=-33089..-16969,y=-41928..-15082,z=-82121..-64107
